PATENTE;MOVIL Nº;CHASIS Nº;FECHA;MOTIVO;QUIEN INTERVINO
AF305MB;56;8A1D23008NL154716;2/1/2024;Se le cambio lámparas de alta y baja de ambos lados;JAVIER ACUÑA
AC515JH;21;8A1FC1315JL121988;2/1/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;2/1/2024;Se le cambio la batería ya que la que tenía no servía má;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;2/1/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG126UB;84;8A1D23003RL643370;5/1/2024;Se le colocó 2 cubiertas nuevas traseras a los KM 56003.;JAVIER ACUÑA
AB027KF;18;93Y9SR5A6HJ522171;5/1/2024;Se le realizó limpieza del cuerpo aceleración, se le cambio una bobina de encendido ya que dicho móvil tenía fallas;JAVIER ACUÑA
AE870CQ;35;93Y9SR5A3MJ771069;5/1/2024;Se le reparo el burro de arranque quedando operativo;JAVIER ACUÑA
AC515JH;21;8A1FC1315JL121988;5/1/2024;Se le colocó 2 cubiertas nuevas delantera;JAVIER ACUÑA
MNF900;3;8A1CB2U01DL668994;5/1/2024; Se le agrego 2 litros de aceite a los KM 155650.;JAVIER ACUÑA
MNF900;3;8A1CB2U01DL668994;15/1/2024;Se le remplazo el electroventilador y el bulbo de temperatura;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;15/1/2024;Se le cambió la batería Se le cambio las pastillas de frenos;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;15/1/2024;Se le cambio la batería a los KM 103301;JAVIER ACUÑA
AG196ZR;89;8A1D23004RL705035;17/1/2024;Se le cambio lámparas de alta y baja de ambos lados;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;17/1/2024;Se le cambio lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;17/1/2024;Se le colocó 2 cubiertas nuevas delantera;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;19/1/2024;Se le colocó 2 cubiertas nuevas delantera;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;19/1/2024; Se le cambio lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
MNF900;3;8A1CB2U01DL668994;19/1/2024;Se le agrego 1 litro y medio de aceite.;JAVIER ACUÑA
AE667QV;30;8A1D23005ML771442;23/1/2024;Se le agrego 1 litro y medio de aceite.;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;23/1/2024;se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF086CU;46;8A1D2300XNL061969;23/1/2024;Se le cambio lámpara de alta y baja lado derecho y se le agrego 1 litro de aceite.;JAVIER ACUÑA
AG196ZS;90;8A1D23004RL705066;23/1/2024;Se le realizó cambio de pastillas de frenos a los KM 22427.;JAVIER ACUÑA
AB027KF;18;93Y9SR5A6HJ522171;23/1/2024;Se le reemplazo la batería a los KM 160660 quedando operativo.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;25/1/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;25/1/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG366YT;97;8A1D23000RL715206;25/1/2024;Se le instalo barral valisas, Se e le instalo Cámaras y DVR.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;25/1/2024;Se le instalo barral valisas, Se e le instalo Cámaras y DVR.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;26/1/2024;Se le cambio lámpara de alta y baja lado derecho;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;26/1/2024;Se le cambio lámpara de baja H7 lado izquierd;JAVIER ACUÑA
AE937QV;39;8A1D23007NL017735;30/1/2024;Se le entrego un criquet botella ya que el que tenía no servía ;JAVIER ACUÑA
AF608ZD;74;8A1D23009PL291540;30/1/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;30/1/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;30/1/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF305MB;56;8A1D23008NL154716;3/2/2024;Se le cambio la batería a los KM 130740;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;3/2/2024;Se le colocó 2 cubiertas nuevas delantera a los KM 116199;JAVIER ACUÑA
AC151JH;21;8A1FC1315JL121988;3/2/2024;Se le reemplazo la batería a los KM 128597.;JAVIER ACUÑA
AF047UR;43;8A1D2300XNL019690;3/2/2024;Se le entrego un criquet botella ya el que tenía no servía más;JAVIER ACUÑA
AE667QV;30;8A1D23005ML771442;5/2/2024;Se le cambio lámpara de alta y baja lado derecho;JAVIER ACUÑA
AF047UQ;42;8A1D23007NL017668;5/2/2024;Se le cambio el flexible de freno lado izquierdo, Se le agrego 1 litro de aceite quedando operativo ;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;5/2/2024;Se le cambio lámpara de posición trasera lado izquierdo.;JAVIER ACUÑA
AG196ZS;90;8A1D23004RL705066;5/2/2024;se cambió Lámpara del lado derecho;JAVIER ACUÑA
AG126UB;84;8A1D23003RL643370;5/2/2024;se cambió Lámparas del lado derecho e izquierdo;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;12/2/2024;Se le cambio lámparas de posición delantera de ambos lados;JAVIER ACUÑA
AG196ZQ;88;8A1D2300XRL705024;12/2/2024; ya fue solucionado el temas de los frenos quedando operativo dicho móvil;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;12/2/2024;Se le cambio lámpara H7 lado derecho se le dejo 1 litro de aceite;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;12/2/2024;Se le cambio lámpara de posición delantera lado izquierdo;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;12/2/2024;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;15/2/2024;Se le cambio la batería a los KM 103537 ;JAVIER ACUÑA
AF047UR;43;8A1D2300XNL019690;17/2/2024;Se le cambio lámpara de posición delantera de ambos lados, Se le cambio lámpara de Giró delantero lado derecho y se le realizó cambio de pastillas de frenos;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;17/2/2024;Se le realizó cambio de batería a los KM 116584;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;17/2/2024;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;17/2/2024;Se le cambio la batería a los KM 59592. ;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;19/2/2024;Se le cambio lámparas H7 delantera de ambos lados.;JAVIER ACUÑA
AF481PG;68;8A1D23009PL242158;20/2/2024;Se le colocó 2 cubiertas nuevas delantera;JAVIER ACUÑA
AB027KF;18;93Y9SR5A6HJ522171;21/2/2024;Se le reemplazo el alternador;JAVIER ACUÑA
